,complete,error,sol,sub_data,u,u_nom
89,False,False,"[[ 0.35620412]
 [-0.08375154]]","{'bfs': Array([0.04821772, 0.08510414, 0.05628221], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.35620412 -0.08375154],[ 1.0625155  -0.57299834]
90,False,False,"[[ 0.35355702]
 [-0.08302356]]","{'bfs': Array([0.04932247, 0.0846757 , 0.05599771], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.35355702 -0.08302356],[ 1.0599142  -0.57213175]
91,False,False,"[[ 0.35097343]
 [-0.08231297]]","{'bfs': Array([0.05043896, 0.08424953, 0.05571473], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.35097343 -0.08231297],[ 1.0573299  -0.57127374]
92,False,False,"[[ 0.34845057]
 [-0.08161903]]","{'bfs': Array([0.05156725, 0.08382563, 0.05543327], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.34845057 -0.08161903],[ 1.0547619  -0.57042414]
93,False,False,"[[ 0.34598562]
 [-0.08094101]]","{'bfs': Array([0.05270723, 0.08340389, 0.05515332], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.34598562 -0.08094101],[ 1.0522099 -0.5695828]
94,False,False,"[[ 0.34357694]
 [-0.08027831]]","{'bfs': Array([0.05385897, 0.08298437, 0.05487487], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.34357694 -0.08027831],[ 1.0496731 -0.5687494]
95,False,False,"[[ 0.3412218 ]
 [-0.07963035]]","{'bfs': Array([0.0550224 , 0.08256704, 0.05459788], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.3412218  -0.07963035],[ 1.0471517  -0.56792384]
96,False,False,"[[ 0.3389182]
 [-0.0789966]]","{'bfs': Array([0.05619745, 0.08215192, 0.05432238], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.3389182 -0.0789966],[ 1.0446453  -0.56710607]
97,False,False,"[[ 0.3366646 ]
 [-0.07837652]]","{'bfs': Array([0.05738416, 0.08173892, 0.05404833], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.3366646  -0.07837652],[ 1.0421532 -0.5662956]
98,False,False,"[[ 0.33445895]
 [-0.07776975]]","{'bfs': Array([0.05858247, 0.08132803, 0.05377571], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 0.33445895 -0.07776975],[ 1.0396752 -0.5654926]
