,complete,error,sol,sub_data,u,u_nom
205,False,False,"[[2.0466347e+00]
 [4.0256348e-01]
 [1.2580924e-04]]","{'bfs': Array([5.7225613e-35, 3.4971663e-04, 4.9618538e-31], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([17.16777], dtype=float32), 'violated': Array(False, dtype=bool)}",[2.0466347  0.40256348],[0. 0. 0.]
206,False,False,"[[2.0715816e+00]
 [3.3992675e-01]
 [1.2741743e-04]]","{'bfs': Array([2.1806497e-34, 4.0388142e-04, 6.6667748e-31], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([16.948599], dtype=float32), 'violated': Array(False, dtype=bool)}",[2.0715816  0.33992675],[0. 0. 0.]
207,False,False,"[[2.0903919e+00]
 [3.0018875e-01]
 [1.2896598e-04]]","{'bfs': Array([6.2173085e-34, 4.6489260e-04, 9.9258893e-31], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([16.748577], dtype=float32), 'violated': Array(False, dtype=bool)}",[2.0903919  0.30018875],[0. 0. 0.]
208,False,False,"[[2.0983942e+00]
 [3.1436154e-01]
 [1.3018290e-04]]","{'bfs': Array([9.1342082e-34, 5.3269503e-04, 1.8789237e-30], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([16.590387], dtype=float32), 'violated': Array(False, dtype=bool)}",[2.0983942  0.31436154],[0. 0. 0.]
209,False,False,"[[2.1114850e+00]
 [3.0372879e-01]
 [1.3159217e-04]]","{'bfs': Array([1.8132171e-33, 6.1129325e-04, 3.1931102e-30], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([16.413296], dtype=float32), 'violated': Array(False, dtype=bool)}",[2.111485  0.3037288],[0. 0. 0.]
210,False,False,"[[2.1379731e+00]
 [2.1445738e-01]
 [1.3350986e-04]]","{'bfs': Array([9.188907e-33, 7.046531e-04, 3.858656e-30], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([16.178253], dtype=float32), 'violated': Array(False, dtype=bool)}",[2.137973   0.21445738],[0. 0. 0.]
211,False,False,"[[2.1380267e+00]
 [2.8331774e-01]
 [1.3448560e-04]]","{'bfs': Array([7.226005e-33, 8.049203e-04, 9.263923e-30], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([16.057533], dtype=float32), 'violated': Array(False, dtype=bool)}",[2.1380267  0.28331774],[0. 0. 0.]
212,False,False,"[[2.1564090e+00]
 [2.4365546e-01]
 [1.3617743e-04]]","{'bfs': Array([2.0103827e-32, 9.2480151e-04, 1.3980732e-29], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([15.859387], dtype=float32), 'violated': Array(False, dtype=bool)}",[2.156409   0.24365546],[0. 0. 0.]
213,False,False,"[[2.1710818e+00]
 [2.2536701e-01]
 [1.3773529e-04]]","{'bfs': Array([4.3697574e-32, 1.0606770e-03, 2.3134544e-29], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([15.67644], dtype=float32), 'violated': Array(False, dtype=bool)}",[2.1710818  0.22536701],[0. 0. 0.]
214,False,False,"[[2.1920187e+00]
 [1.6081867e-01]
 [1.3978768e-04]]","{'bfs': Array([1.5995376e-31, 1.2182585e-03, 3.1543826e-29], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([15.462353], dtype=float32), 'violated': Array(False, dtype=bool)}",[2.1920187  0.16081867],[0. 0. 0.]
215,False,False,"[[2.2133465e+00]
 [6.7059897e-02]
 [1.4181618e-04]]","{'bfs': Array([7.9993209e-31, 1.3960332e-03, 3.8015167e-29], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([15.231681], dtype=float32), 'violated': Array(False, dtype=bool)}",[2.2133465 0.0670599],[0. 0. 0.]
216,False,False,"[[2.1851490e+00]
 [3.5036790e-01]
 [1.4164932e-04]]","{'bfs': Array([6.1932648e-32, 1.5726192e-03, 2.1880225e-28], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([15.2496], dtype=float32), 'violated': Array(False, dtype=bool)}",[2.185149  0.3503679],[0. 0. 0.]
217,False,False,"[[2.2075467e+00]
 [3.0083311e-01]
 [1.4356030e-04]]","{'bfs': Array([1.8649340e-31, 1.8067915e-03, 3.2253595e-28], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([15.04635], dtype=float32), 'violated': Array(False, dtype=bool)}",[2.2075467 0.3008331],[0. 0. 0.]
218,False,False,"[[2.1964591e+00]
 [4.1018701e-01]
 [1.4440514e-04]]","{'bfs': Array([9.5963427e-32, 2.0250231e-03, 8.8503684e-28], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([14.958365], dtype=float32), 'violated': Array(False, dtype=bool)}",[2.196459 0.410187],[0. 0. 0.]
219,False,False,"[[2.2471888e+00]
 [2.1611357e-01]
 [1.4739040e-04]]","{'bfs': Array([1.3970861e-30, 2.3704660e-03, 7.4360877e-28], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([14.654696], dtype=float32), 'violated': Array(False, dtype=bool)}",[2.2471888  0.21611357],[0. 0. 0.]
220,False,False,"[[2.2710509e+00]
 [1.3233802e-01]
 [1.4967099e-04]]","{'bfs': Array([6.0457439e-30, 2.7209737e-03, 9.5591684e-28], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([14.431275], dtype=float32), 'violated': Array(False, dtype=bool)}",[2.271051   0.13233802],[0. 0. 0.]
221,False,False,"[[2.2820137e+00]
 [1.5690912e-01]
 [1.5130387e-04]]","{'bfs': Array([8.4527425e-30, 3.1042995e-03, 1.8878786e-27], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([14.274454], dtype=float32), 'violated': Array(False, dtype=bool)}",[2.2820137  0.15690912],[0. 0. 0.]
222,False,False,"[[2.2714000e+00]
 [3.1373507e-01]
 [1.5205253e-04]]","{'bfs': Array([2.955511e-30, 3.482735e-03, 6.158954e-27], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([14.204603], dtype=float32), 'violated': Array(False, dtype=bool)}",[2.2714     0.31373507],[0. 0. 0.]
223,False,False,"[[2.2779403e+00]
 [3.4972718e-01]
 [1.5360126e-04]]","{'bfs': Array([3.5632864e-30, 3.9381171e-03, 1.2614619e-26], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([14.061019], dtype=float32), 'violated': Array(False, dtype=bool)}",[2.2779403  0.34972718],[0. 0. 0.]
224,False,False,"[[2.3161333e+00]
 [2.1373844e-01]
 [1.5644557e-04]]","{'bfs': Array([2.5416663e-29, 4.5642736e-03, 1.3692675e-26], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([13.804174], dtype=float32), 'violated': Array(False, dtype=bool)}",[2.3161333  0.21373844],[0. 0. 0.]
