,complete,error,sol,sub_data,u,u_nom
58,False,False,"[[3.492188  ]
 [0.44298723]]","{'bfs': Array([3.34813631e-05, 2.65688270e-01, 1.47972405e-02], dtype=float32), 'violated': Array(False, dtype=bool)}",[3.492188   0.44298723],[ 3.6335769  -0.42362535]
59,False,False,"[[3.4524496 ]
 [0.48545703]]","{'bfs': Array([5.1494928e-05, 2.6403046e-01, 1.5906705e-02], dtype=float32), 'violated': Array(False, dtype=bool)}",[3.4524496  0.48545703],[ 3.6171074  -0.44225597]
60,False,False,"[[3.41282 ]
 [0.525401]]","{'bfs': Array([7.8102166e-05, 2.6238769e-01, 1.6925149e-02], dtype=float32), 'violated': Array(False, dtype=bool)}",[3.41282  0.525401],[ 3.6019557 -0.4626348]
61,False,False,"[[3.3732626]
 [0.5629857]]","{'bfs': Array([1.1684952e-04, 2.6075926e-01, 1.7828278e-02], dtype=float32), 'violated': Array(False, dtype=bool)}",[3.3732626 0.5629857],[ 3.5880299  -0.48465252]
62,False,False,"[[3.3337345]
 [0.5983613]]","{'bfs': Array([1.7249504e-04, 2.5914505e-01, 1.8594269e-02], dtype=float32), 'violated': Array(False, dtype=bool)}",[3.3337345 0.5983613],[ 3.5752409 -0.5082084]
63,False,False,"[[3.2941954]
 [0.631661 ]]","{'bfs': Array([2.5132371e-04, 2.5754461e-01, 1.9204704e-02], dtype=float32), 'violated': Array(False, dtype=bool)}",[3.2941954 0.631661 ],[ 3.5635087 -0.533208 ]
64,False,False,"[[3.2545986]
 [0.6630034]]","{'bfs': Array([0.00036151, 0.2559577 , 0.01964537], dtype=float32), 'violated': Array(False, dtype=bool)}",[3.2545986 0.6630034],[ 3.5527542 -0.559564 ]
65,False,False,"[[3.2149007]
 [0.6924935]]","{'bfs': Array([0.0005135 , 0.25438374, 0.01990675], dtype=float32), 'violated': Array(False, dtype=bool)}",[3.2149007 0.6924935],[ 3.5429037 -0.5871942]
66,False,False,"[[3.175055  ]
 [0.72022635]]","{'bfs': Array([0.00072046, 0.25282285, 0.01998443], dtype=float32), 'violated': Array(False, dtype=bool)}",[3.175055   0.72022635],[ 3.5338867  -0.61602104]
67,False,False,"[[2.2090738]
 [0.486132 ]]","{'bfs': Array([0.00099875, 0.25127456, 0.01987916], dtype=float32), 'violated': Array(False, dtype=bool)}",[2.2090738 0.486132 ],[ 3.525636  -0.6459719]
