,complete,error,sol,sub_data,u,u_nom
49,False,False,"[[ 2.6726432e+00]
 [-5.4002655e-01]
 [ 2.1497818e-04]]","{'bfs': Array([8.0116260e-09, 1.1007731e-10, 5.7207937e-05], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([10.043168], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.6726432  -0.54002655],[0. 0. 0.]
50,False,False,"[[ 2.7046366e+00]
 [-5.1904148e-01]
 [ 2.1927249e-04]]","{'bfs': Array([1.3389415e-08, 1.4627669e-10, 7.6175798e-05], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([9.843694], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.7046366 -0.5190415],[0. 0. 0.]
51,False,False,"[[ 2.7680802e+00]
 [-4.3869090e-01]
 [ 2.2708630e-04]]","{'bfs': Array([3.6633629e-08, 1.9544474e-10, 1.3493877e-04], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([9.504792], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.7680802 -0.4386909],[0. 0. 0.]
52,False,False,"[[ 2.8049738e+00]
 [-4.1003877e-01]
 [ 2.3232211e-04]]","{'bfs': Array([6.3928397e-08, 2.5991875e-10, 1.8496701e-04], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([9.290635], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.8049738  -0.41003877],[0. 0. 0.]
53,False,False,"[[ 2.8039873e+00]
 [-4.5800513e-01]
 [ 2.3339271e-04]]","{'bfs': Array([6.0507148e-08, 3.4596773e-10, 1.7744084e-04], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([9.248772], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.8039873  -0.45800513],[0. 0. 0.]
54,False,False,"[[ 2.8578284e+00]
 [-3.9951962e-01]
 [ 2.4072260e-04]]","{'bfs': Array([1.3392359e-07, 4.6065088e-10, 2.8073572e-04], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([8.965651], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.8578284  -0.39951962],[0. 0. 0.]
55,False,False,"[[ 2.9259391e+00]
 [-3.0924907e-01]
 [ 2.5025901e-04]]","{'bfs': Array([3.6433067e-07, 6.0617283e-10, 5.0050038e-04], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([8.623578], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.925939   -0.30924907],[0. 0. 0.]
56,False,False,"[[ 2.9349270e+00]
 [-3.4828287e-01]
 [ 2.5257879e-04]]","{'bfs': Array([3.8562695e-07, 8.1791007e-10, 5.1495247e-04], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([8.547038], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.934927   -0.34828287],[0. 0. 0.]
57,False,False,"[[ 2.9620185e+00]
 [-3.4921512e-01]
 [ 2.5715955e-04]]","{'bfs': Array([5.4014669e-07, 1.0929597e-09, 6.2210334e-04], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([8.391874], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 2.9620185  -0.34921512],[0. 0. 0.]
58,False,False,"[[ 3.0004249e+00]
 [-3.2916361e-01]
 [ 2.6346662e-04]]","{'bfs': Array([8.7762635e-07, 1.4561785e-09, 8.2334544e-04], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([8.19317], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 3.0004249 -0.3291636],[0. 0. 0.]
59,False,False,"[[ 3.0168369e+00]
 [-3.5597903e-01]
 [ 2.6679432e-04]]","{'bfs': Array([1.0319646e-06, 1.9565072e-09, 8.8791951e-04], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([8.088909], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 3.016837   -0.35597903],[0. 0. 0.]
60,False,False,"[[ 3.0465038e+00]
 [-3.5749143e-01]
 [ 2.7200294e-04]]","{'bfs': Array([1.4460962e-06, 2.6180262e-09, 1.0671412e-03], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([7.933272], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 3.0465038  -0.35749143],[0. 0. 0.]
61,False,False,"[[ 3.0617702e+00]
 [-3.8745809e-01]
 [ 2.7536528e-04]]","{'bfs': Array([1.6693189e-06, 3.5118026e-09, 1.1211324e-03], dtype=float32), 'complete': Array(False, dtype=bool), 'lfs': Array([17.285547], dtype=float32), 'lfs_nom': Array([7.8367767], dtype=float32), 'violated': Array(False, dtype=bool)}",[ 3.0617702 -0.3874581],[0. 0. 0.]
